College,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Outstate_Tier,Outstate_Tier_Encoded,Private_Encoded,Accept_trans_scaled,Enroll_trans_scaled,Top10perc_trans_scaled,F.Undergrad_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Outstate_Tier_Encoded_scaled,Accept_Rate_scaled
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70.0,78,18.1,12,7041,60,5.730374554373153,Low,0,1,0.04102778860141398,0.49337479126560313,-0.053119072030679164,0.4335994064806973,0.3001555111149251,-0.6934490715406573,-0.6142542984789047,1.2713984993834921,-0.2904376445599966,-0.28237352323745246,1.0179463816947247,-0.8347120348951067,-0.49118269843375684,-1.0987972149572356,-0.032372339112454476
Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29.0,30,12.2,16,10527,56,5.889257941255077,Medium,1,1,0.4858210116017325,0.14221363903731324,-0.5849046607537621,0.36538161940562885,0.8682389489526622,0.5562683365380878,1.3023649764046783,0.4565508868862346,-2.177363991742446,-2.2481293668347866,-0.43508339754859504,-0.4323290036172367,0.5523622369819019,0.3581403891754813,0.9061926295687945
Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53.0,66,12.9,30,8735,54,5.642122502279379,Medium,1,1,-0.07704594401713065,-0.31597748023315525,-0.12094221917214974,-0.6367744332943974,-0.7272538841097254,0.32201070401890103,-1.0385747644227592,-0.06865514297677516,-1.2635854783881688,-1.0407110988557453,-0.2502164792374274,0.6744919519989533,0.09639280596058719,0.3581403891754813,0.14474993126166583
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92.0,97,7.7,37,19016,59,4.883064097773142,Medium,1,1,-1.2944460595624299,-1.3963882439476925,1.6144757210802636,-1.5312067984905091,-0.9740319705249556,0.7039260224445798,-0.6142542984789047,-0.6517337337581389,1.3709352724803292,1.3645882269351624,-1.7418718980861345,1.1257980885897985,1.726997292492287,0.3581403891754813,0.6122251618760883
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76.0,72,11.9,2,10922,15,4.372222909491132,Low,0,1,-2.287608178960452,-2.65921245857165,-0.5849046607537621,-2.5889009383551747,0.6254175275588529,-0.6567761844143083,1.5536080298286021,0.4565508868862346,0.1176563164912192,-0.6870519494859656,-0.5155706927336406,-2.329357208369601,0.6370436045066592,-1.0987972149572356,0.0649549473571826
Albertson College,Yes,587,479,158,38,62,678,41,13500,3335,500,675,75.0,73,9.4,11,9727,55,5.100784079945237,Medium,1,1,-0.9481727218976576,-1.2145441688060648,0.7690207208177242,-1.1550990508649248,-1.1985700260580425,0.817596785733177,-0.2291946039516519,-1.1697588648030377,0.0472975055627926,-0.6232192944825511,-1.22018114926161,-0.9453261344609437,0.3648514210769269,0.3581403891754813,0.4699427534045058
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90.0,93,11.5,26,8861,63,4.7749954562357555,Medium,1,1,-1.3233585876454557,-1.7722654599603764,-0.4994689411839057,-1.8150655120615597,-0.2364992154928749,0.7737527961030578,-0.2291946039516519,0.4565508868862346,1.2011418370759805,0.9692990979140862,-0.6241261617099947,0.3918121831278882,0.13304593063730483,0.3581403891754813,1.4709627437747093
Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89.0,100,13.7,37,11487,73,5.80841405082405,Medium,1,1,0.37527117805619203,0.09364363716824842,0.7226458157909562,-0.15706162447411603,-1.323847012672887,0.893359908024116,-0.6142542984789047,-0.7100928488101287,1.1176527018812943,1.6789026453905742,-0.043655143285563025,1.1257980885897985,0.7502823344555293,0.3581403891754813,1.0802869864699458
Albright College,Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79.0,84,11.3,23,11644,80,5.451903582692195,High,2,1,-0.3534741599348467,-0.7700207143202807,0.3687770077049723,-0.7104745655794537,-0.06079782059427027,1.2322935057020183,-2.048308048513365,-1.7565250579131293,0.3343576374315665,0.17590711389826053,-0.6789541283407586,0.16480224108923644,0.7802351502105349,1.8150779933081982,0.41737146279108744
Alderson-Broaddus College,Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40.0,41,11.5,15,8991,52,5.095403125842417,Medium,1,1,-0.9061519216966295,-1.1081651194371072,-0.1910995085854955,-0.9486144612853745,-0.8587961830100914,0.13456411411234906,0.8108421980583805,0.8415717373961816,-1.825325889916209,-2.0259049331637793,-0.6241261617099947,-0.5277223720549751,0.17002953770072857,0.3581403891754813,0.7396977547397248
